Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
day2 suit,Chrome 67.0.3396.99,,2018-07-26 13:06:58,2018-07-26 13:07:09,10.992s,PASSED
,,,,,,
Test Cases/Day2/Test1,Chrome 67.0.3396.99,,2018-07-26 13:06:58,2018-07-26 13:07:09,10.718s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 13:06:59,2018-07-26 13:07:01,2.793s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 13:07:01,2018-07-26 13:07:06,4.602s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 13:07:06,2018-07-26 13:07:06,0.141s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 13:07:06,2018-07-26 13:07:06,0.082s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:07:06,2018-07-26 13:07:08,2.181s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 13:07:08,2018-07-26 13:07:09,0.624s,PASSED
